Age,MonthlyIncome,Attrition,DailyRate,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male
41.0,5993.0,1,1102.0,1.0,2.0,1.0,2.0,94.0,3.0,2.0,Sales Executive,4.0,Single,19479.0,8.0,Yes,11.0,3.0,1.0,0.0,8.0,0.0,1.0,6.0,4.0,0.0,5.0,False,False,True,False,False,True,False,True,False,False,False,False,True,False
49.0,5261.2,0,279.0,8.0,1.0,2.0,3.0,61.0,2.0,2.0,Research Scientist,2.0,Married,24907.0,1.0,No,23.0,4.0,4.0,1.0,10.0,3.0,3.0,10.0,7.0,1.0,7.0,False,True,False,False,True,False,False,True,False,False,False,False,False,True
37.0,2090.0,1,1373.0,2.0,2.0,4.0,4.0,92.0,2.0,1.0,Laboratory Technician,3.0,Single,2396.0,6.0,Yes,15.0,3.0,2.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,False,False,True,False,True,False,False,False,False,False,True,False,False,True
33.0,2909.0,0,1392.0,3.0,4.0,5.0,4.0,56.0,3.0,1.0,Research Scientist,3.0,Married,23159.0,1.0,Yes,11.0,3.0,3.0,0.0,8.0,3.0,3.0,8.0,7.0,3.0,0.0,False,True,False,False,True,False,False,True,False,False,False,False,True,False
27.0,3468.0,0,591.0,2.0,1.0,7.0,1.0,40.0,3.0,1.0,Laboratory Technician,2.0,Married,16632.0,9.0,No,12.0,3.0,4.0,1.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,False,False,True,False,True,False,False,False,False,True,False,False,False,True
32.0,3068.0,0,1005.0,2.0,2.0,8.0,4.0,79.0,3.0,1.0,Laboratory Technician,4.0,Single,11864.0,0.0,No,13.0,3.0,3.0,0.0,8.0,2.0,2.0,7.0,7.0,3.0,6.0,False,True,False,False,True,False,False,True,False,False,False,False,False,True
59.0,5543.2,0,1324.0,3.0,3.0,1154.0,3.0,81.0,4.0,1.0,Sales Executive,1.0,Married,9964.0,4.0,Yes,15.8,3.2,1.0,3.0,12.0,3.0,2.0,1.0,0.0,0.0,0.0,False,False,True,False,True,False,False,True,False,False,False,False,False,True
30.0,2693.0,0,1358.0,24.0,1.0,11.0,4.0,67.0,3.0,1.0,Laboratory Technician,3.0,Divorced,13335.0,1.0,No,22.0,4.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,False,False,True,False,True,False,False,True,False,False,False,False,False,True
38.0,9526.0,0,216.0,23.0,3.0,12.0,4.0,44.0,2.0,3.0,Manufacturing Director,3.0,Single,8787.0,0.0,No,21.0,4.0,2.0,0.0,10.0,2.0,3.0,9.0,7.0,1.0,8.0,False,True,False,False,True,False,False,True,False,False,False,False,False,True
36.0,5237.0,0,1299.0,27.0,3.0,13.0,3.0,94.0,3.0,2.0,Healthcare Representative,3.0,Married,16577.0,6.0,No,13.0,3.0,2.0,2.0,17.0,3.0,2.0,7.0,7.0,7.0,7.0,False,False,True,False,True,False,False,False,False,True,False,False,False,True
35.0,2426.0,0,809.0,16.0,3.0,14.0,1.0,84.0,4.0,1.0,Laboratory Technician,2.0,Married,16479.0,0.0,No,13.0,3.0,3.0,1.0,6.0,5.0,3.0,5.0,4.0,0.0,3.0,False,False,True,False,True,False,False,False,False,True,False,False,False,True
29.0,4193.0,0,153.0,15.0,2.0,15.0,4.0,49.0,2.0,2.0,Laboratory Technician,3.0,Single,12682.0,0.0,Yes,12.0,3.0,4.0,0.0,10.0,3.0,3.0,9.0,5.0,0.0,8.0,False,False,True,False,True,False,False,True,False,False,False,False,True,False
31.0,2911.0,0,670.0,26.0,1.0,16.0,1.0,31.0,3.0,1.0,Research Scientist,3.0,Divorced,15170.0,1.0,No,17.0,3.0,4.0,1.0,5.0,1.0,2.0,5.0,2.0,4.0,3.0,False,False,True,False,True,False,False,True,False,False,False,False,False,True
34.0,2661.0,0,1346.0,19.0,2.0,18.0,2.0,93.0,3.0,1.0,Laboratory Technician,4.0,Divorced,8758.0,0.0,No,11.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,False,False,True,False,True,False,False,False,False,True,False,False,False,True
28.0,2028.0,1,103.0,24.0,3.0,19.0,3.0,50.0,2.0,1.0,Laboratory Technician,3.0,Single,12947.0,5.0,Yes,14.0,3.0,2.0,0.0,6.0,4.0,3.0,4.0,2.0,0.0,3.0,False,False,True,False,True,False,False,True,False,False,False,False,False,True
29.0,9980.0,0,1389.0,21.0,4.0,20.0,2.0,51.0,4.0,3.0,Manufacturing Director,1.0,Divorced,10195.0,1.0,No,11.0,3.0,3.0,1.0,10.0,1.0,3.0,10.0,9.0,8.0,8.0,False,False,True,False,True,False,False,True,False,False,False,False,True,False
32.0,3298.0,0,334.0,5.0,2.0,21.0,1.0,80.0,4.0,1.0,Research Scientist,2.0,Divorced,15053.0,0.0,Yes,12.0,3.0,4.0,2.0,7.0,5.0,2.0,6.0,2.0,0.0,5.0,False,False,True,False,True,False,False,True,False,False,False,False,False,True
22.0,2935.0,0,1123.0,16.0,2.0,22.0,4.0,96.0,4.0,1.0,Laboratory Technician,4.0,Married,7324.0,1.0,Yes,13.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,True,False,False,False,True,False,False,False,False,True,False,False,False,True
53.0,15427.0,0,1219.0,2.0,4.0,23.0,1.0,78.0,2.0,4.0,Manager,4.0,Married,22021.0,2.0,No,16.0,3.0,3.0,0.0,31.0,3.0,3.0,25.0,8.0,3.0,7.0,False,False,True,False,False,True,False,True,False,False,False,False,True,False
38.0,3944.0,0,371.0,2.0,3.0,24.0,4.0,45.0,3.0,1.0,Research Scientist,4.0,Single,4306.0,5.0,Yes,11.0,3.0,3.0,0.0,6.0,3.0,3.0,3.0,2.0,1.0,2.0,False,False,True,False,True,False,False,True,False,False,False,False,False,True
24.0,4011.0,0,673.0,11.0,2.0,26.0,1.0,96.0,4.0,2.0,Manufacturing Director,3.0,Divorced,8232.0,0.0,No,18.0,3.0,4.0,1.0,5.0,5.0,2.0,4.0,2.0,1.0,3.0,True,False,False,False,True,False,False,False,False,False,True,False,True,False
36.0,3407.0,1,1218.0,9.0,4.0,27.0,3.0,82.0,2.0,1.0,Sales Representative,1.0,Single,6986.0,7.0,No,23.0,4.0,2.0,0.0,10.0,4.0,3.0,5.0,3.0,0.0,3.0,False,False,True,False,False,True,False,True,False,False,False,False,False,True
34.0,11994.0,0,419.0,7.0,4.0,28.0,1.0,53.0,3.0,3.0,Research Director,2.0,Single,21293.0,0.0,No,11.0,3.0,3.0,0.0,13.0,4.0,3.0,12.0,6.0,2.0,11.0,False,False,True,False,True,False,False,True,False,False,False,False,True,False
21.0,1232.0,0,391.0,15.0,2.0,30.0,3.0,96.0,3.0,1.0,Research Scientist,4.0,Single,19185.0,1.0,No,14.0,3.0,4.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,False,False,True,False,True,False,False,True,False,False,False,False,False,True
34.0,2960.0,1,699.0,6.0,1.0,31.0,2.0,83.0,3.0,1.0,Research Scientist,1.0,Single,17102.0,2.0,No,11.0,3.0,3.0,0.0,8.0,2.0,3.0,4.0,2.0,1.0,3.0,False,False,True,False,True,False,False,False,False,True,False,False,False,True
53.0,19094.0,0,1282.0,5.0,3.0,32.0,3.0,58.0,3.0,5.0,Manager,3.0,Divorced,10735.0,4.0,No,11.0,3.0,4.0,1.0,26.0,3.0,2.0,14.0,13.0,4.0,8.0,False,False,True,False,True,False,False,False,False,False,True,False,True,False
32.0,3919.0,1,1125.0,16.0,1.0,33.0,2.0,72.0,1.0,1.0,Research Scientist,1.0,Single,4681.0,1.0,Yes,22.0,4.0,2.0,0.0,10.0,5.0,3.0,10.0,2.0,6.0,7.0,False,True,False,False,True,False,False,True,False,False,False,False,True,False
42.0,6825.0,0,691.0,8.0,4.0,35.0,3.0,48.0,3.0,2.0,Sales Executive,2.0,Married,21173.0,0.0,No,11.0,3.0,4.0,1.0,10.0,2.0,3.0,9.0,7.0,4.0,2.0,False,False,True,False,False,True,False,False,True,False,False,False,False,True
44.0,10248.0,0,477.0,7.0,4.0,36.0,1.0,42.0,2.0,3.0,Healthcare Representative,4.0,Married,2094.0,3.0,No,14.0,3.0,4.0,1.0,24.0,4.0,3.0,22.0,6.0,5.0,17.0,False,False,True,False,True,False,False,False,False,True,False,False,True,False
46.0,18947.0,0,705.0,2.0,4.0,38.0,2.0,83.0,3.0,5.0,Manager,1.0,Single,22822.0,3.0,No,12.0,3.0,4.0,0.0,22.0,2.0,2.0,2.0,2.0,2.0,1.0,False,False,True,False,False,True,False,False,True,False,False,False,True,False
